,CD,WDT,VBZ,NNP,POS,JJS,TO,RBR,UH,EX,RB,JJ,VBP,PDT,VBD,FW,WRB,DT,NNPS,JJR,PRP,VB,VBN,CC,WP,NN,MD,IN,RP,WP$,PRP$,NNS,VBG,RBS,LABEL
0,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,1.0,0,1.0,0,0,0,0,3.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0,0,0,0,DESC
1,0.0,0,0.0,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,2.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0,0,0,0,ENTY
2,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0.0,0,1.0,1,0,0,1,1.0,0.0,0.0,0,1,1,1.0,0.0,0.0,0,2,0,0,DESC
3,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,1.0,0,0.0,3,0,0,0,0.0,0.0,0.0,1,3,0,2.0,0.0,0.0,0,0,0,0,ENTY
4,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1,2,0,1.0,0.0,0.0,0,0,0,0,ABBR
5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,1.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1,3,0,1.0,0.0,0.0,1,0,0,0,HUM
6,0.0,0,0.0,3.0,1,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0,0,0,0,1.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0,0,0,0,HUM
7,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0,0,0,0,HUM
8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0,1,0,0,DESC
9,0.0,0,0.0,2.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0.0,0,0.0,2,0,0,0,1.0,0.0,0.0,0,2,0,1.0,0.0,0.0,0,0,0,0,HUM
10,0.0,0,0.0,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0,0,1.0,0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,NUM
11,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0,2,0,0.0,0,1.0,0,0,1,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0,DESC
12,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,2,0,0,0,0.0,0.0,0.0,1,0,0,1.0,0.0,0.0,0,1,0,0,HUM
13,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0,0,0,0,HUM
14,0.0,0,2.0,0.0,0,1.0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0.0,2,0,0,0,0.0,2.0,0.0,1,3,0,0.0,0.0,0.0,0,0,0,0,ENTY
15,0.0,0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0,1,1,1,LOC
16,0.0,0,0.0,2.0,0,0.0,1.0,0,0.0,0.0,1.0,1,0,0,1.0,0,0.0,2,0,0,0,0.0,0.0,0.0,1,2,0,1.0,0.0,0.0,0,0,0,0,DESC
17,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,1.0,0,1.0,0,1,0,0,0.0,1.0,0.0,0,1,0,2.0,0.0,0.0,0,1,0,0,NUM
18,0.0,0,1.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0,0,0,0,DESC
19,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0,0,0,0,DESC
20,0.0,0,1.0,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0,0,0,0,NUM
21,0.0,0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,1,0,2.0,0.0,0.0,0,1,0,0,ENTY
